familia,A,a,b,N,r2
PF14555,1.087898,0.768599,0.806983,211,0.942104
PF14617,1.348645,0.481923,0.417000,31,0.968877
PF14619,1.056442,0.314749,0.408038,175,0.982340
PF14635,-0.324537,-2.680197,5.386575,3,1.000000
PF14639,1.369770,0.527753,0.331044,33,0.951123
PF14641,1.665020,0.785749,0.571723,151,0.956806
PF14691,1.228513,0.686163,0.700097,580,0.948527
PF14700,1.894192,0.653510,0.450245,1635,0.975662
PF14703,1.424630,0.575587,0.539467,963,0.983148
PF14716,0.922883,0.600026,0.751217,482,0.970060
PF14863,2.289344,1.295314,0.828718,159,0.934026
PF14864,2.101849,0.716795,0.339675,277,0.931750
PF15288,1.042441,0.503885,0.511579,55,0.974919
PF15412,1.295536,0.428654,0.369227,218,0.943292
PF15613,1.202270,0.493187,0.533366,275,0.966547
PF15624,0.998682,0.498012,0.620403,196,0.976785
